RAH-CountryIso,RAH-CountryName,Forecast_Time,Forecast_InitTime_Views,Forecast_InitTime_BSE-CF,main_mean,lnbest_subtract,lnbest_even,fatal_mean_sbt,fatal_mean_evn,source,createdOn,createdBy
ISR,Israel,2024-08-01,2024-07-01,,3614.0226,,,3614.0226,3614.0226,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
JOR,Jordan,2024-11-01,2024-07-01,2024-08-01,0.1047,0.09585509150578748,0.09585509150578748,0.10027754575289374,0.10027754575289374,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
PSE,Occupied Palestinian territory,2025-06-01,,2024-08-01,,1223.5070889517895,1370.359871902858,1223.5070889517895,1370.359871902858,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
ISR,Israel,2025-06-01,2024-07-01,2024-08-01,342.1845,1223.5070889517895,1370.359871902858,782.8457944758948,856.272185951429,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
SYR,Syria,2025-06-01,2024-07-01,2024-08-01,949.5878,187.6324472072557,177.39182292308445,568.6101236036278,563.4898114615422,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
LBN,Lebanon,2025-06-01,2024-07-01,2024-08-01,24.9479,28.3152203420618,25.868819709634394,26.6315601710309,25.4083598548172,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
ISR,Israel,2024-12-01,2024-07-01,2024-08-01,1495.0435,1223.5070889517895,1370.359871902858,1359.2752944758947,1432.701685951429,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
PSE,Occupied Palestinian territory,2024-12-01,,2024-08-01,,1223.5070889517895,1370.359871902858,1223.5070889517895,1370.359871902858,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
SYR,Syria,2024-12-01,2024-07-01,2024-08-01,428.8749,187.6324472072557,177.39182292308445,308.2536736036279,303.1333614615422,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
SYR,Syria,2024-08-01,2024-07-01,,179.2526,,,179.2526,179.2526,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
LBN,Lebanon,2024-08-01,2024-07-01,,27.2902,,,27.2902,27.2902,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
PSE,Occupied Palestinian territory,2025-04-01,,2024-08-01,,1223.5070889517895,1370.359871902858,1223.5070889517895,1370.359871902858,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
ISR,Israel,2025-04-01,2024-07-01,2024-08-01,336.4771,1223.5070889517895,1370.359871902858,779.9920944758948,853.418485951429,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
SYR,Syria,2025-04-01,2024-07-01,2024-08-01,898.9384,187.6324472072557,177.39182292308445,543.2854236036278,538.1651114615422,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
IRN,"Iran, Islamic Republic of",2025-06-01,2024-07-01,2024-08-01,3.0107,10.732466117527323,9.165135750166293,6.871583058763662,6.087917875083146,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
IRN,"Iran, Islamic Republic of",2024-08-01,2024-07-01,,2.9985,,,2.9985,2.9985,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
JOR,Jordan,2025-06-01,2024-07-01,2024-08-01,0.1797,0.15543325769050453,0.14053871614432525,0.16756662884525225,0.16011935807216263,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
JOR,Jordan,2024-08-01,2024-07-01,,0.0496,,,0.0496,0.0496,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
PSE,Occupied Palestinian territory,2025-03-01,,2024-08-01,,1223.5070889517895,1370.359871902858,1223.5070889517895,1370.359871902858,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
ISR,Israel,2025-03-01,2024-07-01,2024-08-01,695.2178,1223.5070889517895,1370.359871902858,959.3624444758948,1032.788835951429,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
SYR,Syria,2025-03-01,2024-07-01,2024-08-01,762.9998,187.6324472072557,177.39182292308445,475.3161236036279,470.19581146154223,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
LBN,Lebanon,2025-03-01,2024-07-01,2024-08-01,21.5661,28.3152203420618,25.868819709634394,24.9406601710309,23.717459854817196,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
IRN,"Iran, Islamic Republic of",2025-03-01,2024-07-01,2024-08-01,3.7965,10.732466117527323,9.165135750166293,7.264483058763662,6.480817875083146,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
LBN,Lebanon,2024-12-01,2024-07-01,2024-08-01,31.7436,28.3152203420618,25.868819709634394,30.0294101710309,28.806209854817197,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
JOR,Jordan,2025-03-01,2024-07-01,2024-08-01,0.1494,0.15543325769050453,0.14053871614432525,0.15241662884525226,0.14496935807216263,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
IRN,"Iran, Islamic Republic of",2024-12-01,2024-07-01,2024-08-01,2.8614,10.732466117527323,9.165135750166293,6.796933058763662,6.013267875083146,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
JOR,Jordan,2024-12-01,2024-07-01,2024-08-01,0.1034,0.15543325769050453,0.14053871614432525,0.12941662884525226,0.12196935807216264,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
PSE,Occupied Palestinian territory,2025-07-01,,2024-08-01,,1223.5070889517895,1370.359871902858,1223.5070889517895,1370.359871902858,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
ISR,Israel,2025-07-01,2024-07-01,2024-08-01,260.9398,1223.5070889517895,1370.359871902858,742.2234444758947,815.6498359514289,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
SYR,Syria,2025-07-01,2024-07-01,2024-08-01,826.9839,187.6324472072557,177.39182292308445,507.30817360362784,502.1878614615422,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
IRN,"Iran, Islamic Republic of",2025-04-01,2024-07-01,2024-08-01,5.0113,10.732466117527323,9.165135750166293,7.871883058763662,7.088217875083147,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
LBN,Lebanon,2025-04-01,2024-07-01,2024-08-01,20.3585,28.3152203420618,25.868819709634394,24.3368601710309,23.113659854817197,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
LBN,Lebanon,2025-07-01,2024-07-01,2024-08-01,26.0562,28.3152203420618,25.868819709634394,27.185710171030898,25.9625098548172,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
IRN,"Iran, Islamic Republic of",2025-07-01,2024-07-01,2024-08-01,3.9972,10.732466117527323,9.165135750166293,7.3648330587636615,6.581167875083146,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
JOR,Jordan,2025-07-01,2024-07-01,2024-08-01,0.1866,0.15543325769050453,0.14053871614432525,0.17101662884525226,0.1635693580721626,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
LBN,Lebanon,2024-09-01,2024-07-01,2024-08-01,32.4731,18.52961781235218,18.52961781235218,25.50135890617609,25.50135890617609,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
ISR,Israel,2025-01-01,2024-07-01,2024-08-01,1047.7786,1223.5070889517895,1370.359871902858,1135.642844475895,1209.0692359514292,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
SYR,Syria,2025-01-01,2024-07-01,2024-08-01,508.928,187.6324472072557,177.39182292308445,348.28022360362786,343.1599114615422,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
